UNEM_RATE,MORTGAGE,GDPC1,FORECLOSURES,HPI,Year,Quarter
4.03,8.26,12935.252,1.95,101.34,2000,2000Q1
3.93,8.32,13170.749,1.97,103.67,2000,2000Q2
4.0,8.02,13183.89,2.09,105.79,2000,2000Q3
3.9,7.62,13262.25,2.23,108.27,2000,2000Q4
4.23,7.01,13219.251,2.34,110.48,2001,2001Q1
4.4,7.13,13301.394,2.41,112.2,2001,2001Q2
4.83,6.96,13248.142,2.18,114.16,2001,2001Q3
5.5,6.77,13284.881,2.25,115.87,2001,2001Q4
5.7,6.97,13394.91,2.24,117.89,2002,2002Q1
5.83,6.81,13477.356,2.16,120.72,2002,2002Q2
5.73,6.29,13531.741,2.1,123.83,2002,2002Q3
5.87,6.08,13549.421,2.0,126.67,2002,2002Q4
5.87,5.84,13619.434,1.97,129.32,2003,2003Q1
6.13,5.51,13741.107,1.83,131.76,2003,2003Q2
6.13,6.03,13970.157,1.73,135.01,2003,2003Q3
5.83,5.92,14131.379,1.76,138.83,2003,2003Q4
5.7,5.6,14212.34,1.65,143.3,2004,2004Q1
5.6,6.11,14323.017,1.6,148.21,2004,2004Q2
5.43,5.89,14457.832,1.55,152.72,2004,2004Q3
5.43,5.74,14605.595,1.42,157.54,2004,2004Q4
5.3,5.77,14767.846,1.41,163.48,2005,2005Q1
5.1,5.71,14839.707,1.55,169.35,2005,2005Q2
4.97,5.76,14956.291,1.59,174.58,2005,2005Q3
4.97,6.23,15041.232,1.64,179.54,2005,2005Q4
4.73,6.25,15244.088,1.61,183.32,2006,2006Q1
4.63,6.6,15281.525,1.62,184.0,2006,2006Q2
4.63,6.56,15304.517,1.74,182.82,2006,2006Q3
4.43,6.24,15433.643,1.92,183.65,2006,2006Q4
4.5,6.21,15478.956,2.08,184.42,2007,2007Q1
4.5,6.36,15577.779,2.3,181.62,2007,2007Q2
4.67,6.55,15671.605,2.71,178.26,2007,2007Q3
4.8,6.22,15767.146,3.1,175.37,2007,2007Q4
5.0,5.87,15702.906,3.68,171.58,2008,2008Q1
5.33,6.09,15792.773,4.36,166.67,2008,2008Q2
6.0,6.32,15709.562,5.27,161.96,2008,2008Q3
6.87,5.84,15366.607,6.58,156.03,2008,2008Q4
8.27,5.06,15187.475,8.02,150.06,2009,2009Q1
9.3,5.01,15161.772,8.58,147.91,2009,2009Q2
9.63,5.16,15216.647,9.46,148.24,2009,2009Q3
9.93,4.92,15379.155,10.36,147.97,2009,2009Q4
9.83,5.0,15456.059,11.54,146.29,2010,2010Q1
9.63,4.92,15605.628,11.08,146.17,2010,2010Q2
9.47,4.45,15726.282,10.61,143.97,2010,2010Q3
9.5,4.44,15807.995,10.37,142.25,2010,2010Q4
9.03,4.85,15769.911,10.33,140.62,2011,2011Q1
9.07,4.65,15876.839,10.54,139.93,2011,2011Q2
9.0,4.29,15870.684,10.54,139.24,2011,2011Q3
8.63,4.0,16048.702,10.26,137.26,2011,2011Q4
8.27,3.92,16179.968,10.34,137.02,2012,2012Q1
8.2,3.79,16253.726,10.45,140.12,2012,2012Q2
8.03,3.55,16282.151,10.47,142.29,2012,2012Q3
7.8,3.36,16300.035,10.01,144.56,2012,2012Q4
7.73,3.5,16441.485,9.74,148.19,2013,2013Q1
7.53,3.67,16464.402,9.32,152.86,2013,2013Q2
7.23,4.44,16594.743,8.65,156.94,2013,2013Q3
6.93,4.29,16712.76,8.29,160.11,2013,2013Q4
6.67,4.36,16654.247,7.78,162.52,2014,2014Q1
6.2,4.23,16868.109,7.43,163.71,2014,2014Q2
6.07,4.14,17064.616,7.05,165.24,2014,2014Q3
5.7,3.96,17141.235,6.5,167.35,2014,2014Q4
5.53,3.72,17280.647,6.24,169.21,2015,2015Q1
5.43,3.82,17380.875,5.82,170.9,2015,2015Q2
5.1,3.95,17437.08,5.39,172.98,2015,2015Q3
5.03,3.9,17462.579,5.1,175.71,2015,2015Q4
4.9,3.74,17565.465,4.78,177.71,2016,2016Q1
4.93,3.59,17618.581,4.59,179.47,2016,2016Q2
4.9,3.45,17724.489,4.39,181.88,2016,2016Q3
4.77,3.84,17812.56,4.15,184.74,2016,2016Q4
4.57,4.17,17896.623,3.9,187.37,2017,2017Q1
4.4,3.98,17996.802,3.68,189.72,2017,2017Q2
4.3,3.88,18126.226,3.64,192.72,2017,2017Q3
4.13,3.92,18296.685,3.57,195.91,2017,2017Q4
4.03,4.28,18436.262,3.49,199.11,2018,2018Q1
3.93,4.54,18590.004,3.22,201.68,2018,2018Q2
3.77,4.57,18679.599,2.97,203.79,2018,2018Q3
3.83,4.78,18721.281,2.83,205.44,2018,2018Q4
3.87,4.37,18833.195,2.7,206.69,2019,2019Q1
3.67,4.01,18982.528,2.61,208.56,2019,2019Q2
3.6,3.66,19112.653,2.42,210.33,2019,2019Q3
3.6,3.7,19202.31,2.34,212.47,2019,2019Q4
3.8,3.52,18951.992,2.36,215.51,2020,2020Q1
13.07,3.24,17258.205,2.55,217.89,2020,2020Q2
8.8,2.95,18560.774,2.8,222.84,2020,2020Q3
6.77,2.76,18767.778,2.74,232.55,2020,2020Q4
